model.armour.foot.chain	Foot Chain
model.armour.foot.cotton	Foot Cotton
model.armour.foot.dragon.leather	Foot Dragon Leather
model.armour.foot.dragon.scale	Foot Dragon Scale
model.armour.foot.leather	Foot Leather
model.armour.foot.plate	Foot Plate
model.armour.foot.studded	Foot Studded
model.armour.hand.chain	Hand Chain
model.armour.hand.cotton	Hand Cotton
model.armour.hand.dragon.leather	Hand Dragon Leather
model.armour.hand.dragon.scale	Hand Dragon Scale
model.armour.hand.leather	Hand Leather
model.armour.hand.plate	Hand Plate
model.armour.hand.studded	Hand Studded
model.armour.head.basinet	Head Basinet
model.armour.head.basinet.adamantine	Head Basinet Adamantine
model.armour.head.blue.cotton	Head Blue Cotton
model.armour.head.blue.cotton.equipped	Head Blue Cotton Equipped
model.armour.head.brownbear	Head Brownbear
model.armour.head.chain.adamantine.equipped	Head Chain Adamantine Equipped
model.armour.head.chain.equipped	Head Chain Equipped
model.armour.head.chain.gold	Head Chain Gold
model.armour.head.cotton	Head Cotton
model.armour.head.cotton.equipped	Head Cotton Equipped
model.armour.head.dragon.leather	Head Dragon Leather
model.armour.head.dragon.leather.red	Head Dragon Leather Red
model.armour.head.goblin.war.bonnet	Head Goblin War Bonnet
model.armour.head.greathelm	Head Greathelm
model.armour.head.greathelm.adamantine	Head Greathelm Adamantine
model.armour.head.greathelmHornedOfGold	Head GreathelmHornedOfGold
model.armour.head.greathelmWolf	Head GreathelmWolf
model.armour.head.hat.witch	Head Hat Witch
model.armour.head.hat1.leather	Head Hat1 Leather
model.armour.head.hat1.leather	Head Hat1 Leather
model.armour.head.leather	Head Leather
model.armour.head.leather.hat4	Head Leather Hat4
model.armour.head.mask.blank.paper	Head Mask Blank Paper
model.armour.head.mask.blank.paper.equipped.female	Head Mask Blank Paper Equipped Female
model.armour.head.mask.challenge.silver	Head Mask Challenge Silver
model.armour.head.mask.enlightened.leather	Head Mask Enlightened Leather
model.armour.head.mask.isles.pottery	Head Mask Isles Pottery
model.armour.head.mask.midsummer	Head Mask Midsummer
model.armour.head.mask.pale.pottery	Head Mask Pale Pottery
model.armour.head.mask.ravager.leather	Head Mask Ravager Leather
model.armour.head.mask.returner.leather	Head Mask Returner Leather
model.armour.head.mask.shadow.leather	Head Mask Shadow Leather
model.armour.head.mask.skull	Head Mask Skull
model.armour.head.mask.skull.gold	Head Mask Skull Gold
model.armour.head.mask.troll	Head Mask Troll
model.armour.head.mask.unfinished	Head Mask Unfinished
model.armour.head.openhelm	Head Openhelm
model.armour.head.openhelm.adamantine	Head Openhelm Adamantine
model.armour.head.openhelmplumedhunt	Head Openhelmplumedhunt
model.armour.head.studded	Head Studded
model.armour.head.troll.king.hat	Head Troll King Hat
model.armour.head.wool.cap0	Head Wool Cap0
model.armour.head.wool.cap0.yellow	Head Wool Cap0 Yellow
model.armour.head.wool.hat1	Head Wool Hat1
model.armour.head.wool.hat1.blue	Head Wool Hat1 Blue
model.armour.head.wool.hat2	Head Wool Hat2
model.armour.head.wool.hat2.dark	Head Wool Hat2 Dark
